"","sector","protein_len","gene.length..nt.","cog_name","functional_category_desc"
"252","U",207,624,"Guanylate kinase","Nucleotide transport and metabolism"
"496","A",468,1407,"6-phosphogluconate dehydrogenase","Carbohydrate transport and metabolism"
"NA.16","R",NA,NA,NA,NA
"NA.17","S",NA,NA,NA,NA
"1738","A",450,1353,"Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase","Energy production and conversion"
"916","A",250,753,"Phosphoglycerate mutase (BPG-dependent)","Carbohydrate transport and metabolism"
"NA.18","R",NA,NA,NA,NA
"NA.19","O",NA,NA,NA,NA
"310","C",339,1020,"Glycerol-3-phosphate dehydrogenase","Energy production and conversion"
"713","R",152,459,"Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein","Nucleotide transport and metabolism"
"3283","A",127,384,"Autonomous glycyl radical cofactor GrcA","Coenzyme transport and metabolism"
"1279","R",158,477,"Transcription elongation factor, GreA/GreB family","Transcription"
"645","C",548,1647,"Chaperonin GroEL (HSP60 family)","Posttranslational modification, protein turnover, chaperones"
"299","C",97,294,"Co-chaperonin GroES (HSP10)","Posttranslational modification, protein turnover, chaperones"
"848","R",197,594,"Molecular chaperone GrpE (heat shock protein HSP-70)","Posttranslational modification, protein turnover, chaperones"
"2957","S",215,648,"Glutaredoxin 2","Posttranslational modification, protein turnover, chaperones"
"1132","S",83,252,"Glutaredoxin","Posttranslational modification, protein turnover, chaperones"
"384","O",115,348,"Glutaredoxin-related protein","Posttranslational modification, protein turnover, chaperones"
"2893","A",518,1557,"Gamma-glutamylcysteine synthetase","Coenzyme transport and metabolism"
"244","S",316,951,"Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily","Amino acid transport and metabolism"
"1220","U",512,1539,"ABC-type transport system, periplasmic component","Amino acid transport and metabolism"
"NA.20","A",NA,NA,NA,NA
"NA.21","O",NA,NA,NA,NA
"739","U",525,1578,"GMP synthase, glutamine amidotransferase domain","Nucleotide transport and metabolism"
"736","U",488,1467,"IMP dehydrogenase/GMP reductase","Nucleotide transport and metabolism"
"735","A",347,1044,"IMP dehydrogenase/GMP reductase","Nucleotide transport and metabolism"
"241","O",875,2628,"DNA gyrase/topoisomerase IV, subunit A","Replication, recombination and repair"
"240","U",804,2415,"DNA gyrase/topoisomerase IV, subunit B","Replication, recombination and repair"
"144","U",324,975,"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase","Coenzyme transport and metabolism"
"230","A",313,942,"Porphobilinogen deaminase","Coenzyme transport and metabolism"
"562","C",354,1065,"Uroporphyrinogen-III decarboxylase HemE","Coenzyme transport and metabolism"
"1","A",426,1281,"Glutamate-1-semialdehyde aminotransferase","Coenzyme transport and metabolism"
"1012","A",457,1374,"Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase","Coenzyme transport and metabolism"
"2914","O",393,1182,"Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)","General function prediction only"
"3036","C",398,1197,"Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)","Function unknown"
"NA.22","U",NA,NA,NA,NA
"NA.23","A",NA,NA,NA,NA
"459","S",334,1005,"Regulator of protease activity HflC, stomatin/prohibitin superfamily","Posttranslational modification, protein turnover, chaperones"
"2889","R",213,642,"Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation","Mobilome: prophages, transposons"
"458","A",419,1260,"Regulator of protease activity HflC, stomatin/prohibitin superfamily","Posttranslational modification, protein turnover, chaperones"
"2646","S",426,1281,"50S ribosomal subunit-associated GTPase HflX","Translation, ribosomal structure and biogenesis"
"2260","O",102,309,"sRNA-binding regulator protein Hfq","Signal transduction mechanisms"
"784","O",119,360,"Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family","Nucleotide transport and metabolism"
"132","A",245,738,"Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase","Amino acid transport and metabolism"
"168","A",355,1068,"Imidazoleglycerol phosphate dehydratase HisB","Amino acid transport and metabolism"
"103","A",356,1071,"Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase","Amino acid transport and metabolism"
"180","A",434,1305,"Histidinol dehydrogenase","Amino acid transport and metabolism"
"133","A",258,777,"Imidazole glycerol phosphate synthase subunit HisF","Amino acid transport and metabolism"
"51","A",299,900,"ATP phosphoribosyltransferase","Amino acid transport and metabolism"
"150","A",196,591,"Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH","Amino acid transport and metabolism"
"178","A",203,612,"Phosphoribosyl-AMP cyclohydrolase","Amino acid transport and metabolism"
"1359","A",260,783,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain","Amino acid transport and metabolism"
"3581","A",257,774,"ABC-type histidine transport system, ATPase component","Amino acid transport and metabolism"
"156","U",424,1275,"Histidyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"NA.24","A",NA,NA,NA,NA
"NA.25","A",NA,NA,NA,NA
"2890","O",137,414,"DNA-binding protein H-NS","Transcription"
"1010","O",178,537,"Hypoxanthine-guanine phosphoribosyltransferase","Nucleotide transport and metabolism"
"620","R",616,1851,"Molecular chaperone DnaK (HSP70)","Posttranslational modification, protein turnover, chaperones"
"1539","R",171,516,"DnaJ domain-containing protein","Posttranslational modification, protein turnover, chaperones"
"397","R",529,1590,"Type I restriction-modification system, DNA methylase subunit","Defense mechanisms"
"1158","S",1170,3567,"FoF1-type ATP synthase, membrane subunit b or b'","Energy production and conversion"
"1792","R",292,879,"Redox-regulated molecular chaperone, HSP33 family","Posttranslational modification, protein turnover, chaperones"
"1719","U",443,1332,"ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU","Posttranslational modification, protein turnover, chaperones"
"3692","O",176,531,"ATP-dependent protease HslVU (ClpYQ), peptidase subunit","Posttranslational modification, protein turnover, chaperones"
"450","C",624,1875,"Molecular chaperone, HSP90 family","Posttranslational modification, protein turnover, chaperones"
"710","A",293,882,"Zn-dependent protease with chaperone function","Posttranslational modification, protein turnover, chaperones"
"1268","S",90,273,"Bacterial nucleoid DNA-binding protein IHF-alpha","Replication, recombination and repair"
"1265","S",90,273,"Bacterial nucleoid DNA-binding protein IHF-alpha","Replication, recombination and repair"
"785","S",416,1251,"Isocitrate dehydrogenase","Energy production and conversion"
"NA.26","A",NA,NA,NA,NA
"1267","O",99,300,"Bacterial nucleoid DNA-binding protein IHF-alpha","Replication, recombination and repair"
"1266","C",94,285,"Bacterial nucleoid DNA-binding protein IHF-alpha","Replication, recombination and repair"
"78","O",938,2817,"Isoleucyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1649","A",514,1545,"Threonine deaminase","Amino acid transport and metabolism"
"33","S",562,1689,"Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme","Amino acid transport and metabolism"
"76","U",491,1476,"Ketol-acid reductoisomerase","Amino acid transport and metabolism"
"166","O",616,1851,"Dihydroxyacid dehydratase/phosphogluconate dehydratase","Amino acid transport and metabolism"
"147","A",309,930,"Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase","Amino acid transport and metabolism"
"NA.27","A",NA,NA,NA,NA
"613","S",163,492,"Acetolactate synthase, small subunit","Amino acid transport and metabolism"
"34","S",574,1725,"Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme","Amino acid transport and metabolism"
"3475","S",87,264,"Acetolactate synthase small subunit, contains ACT domain","Amino acid transport and metabolism"
"614","S",96,291,"Acetolactate synthase, small subunit","Amino acid transport and metabolism"
"NA.28","A",NA,NA,NA,NA
"495","R",72,219,"Translation initiation factor IF-1","Translation, ribosomal structure and biogenesis"
"778","R",890,2673,"Translation initiation factor IF-2, a GTPase","Translation, ribosomal structure and biogenesis"
"402","O",180,543,"Translation initiation factor IF-3","Translation, ribosomal structure and biogenesis"
"NA.29","S",NA,NA,NA,NA
"433","R",107,324,"Fe-S cluster assembly iron-binding protein IscA","Posttranslational modification, protein turnover, chaperones"
"2297","O",162,489,"DNA-binding transcriptional regulator, IscR family","Transcription"
"1558","R",404,1215,"Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family","Amino acid transport and metabolism"
"2938","A",66,201,"Fe-S-cluster formation regulator IscX/YfhJ","Posttranslational modification, protein turnover, chaperones"
"182","U",323,972,"Geranylgeranyl pyrophosphate synthase","Coenzyme transport and metabolism"
"325","S",159,480,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","Lipid transport and metabolism"
"1340","O",372,1119,"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE","Lipid transport and metabolism"
"1240","U",316,951,"4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH","Lipid transport and metabolism"
"NA.30","C",NA,NA,NA,NA
"1229","S",753,2262,"Catalase","Inorganic ion transport and metabolism"
"521","S",726,2181,"Catalase (peroxidase I)","Inorganic ion transport and metabolism"
"1903","R",263,792,"DNA-binding transcriptional regulator, IclR family","Transcription"
"2376","O",557,1674,"K+-transporting ATPase, KdpA subunit","Inorganic ion transport and metabolism"
"2589","S",682,2049,"K+ transport ATPase, ATPase subunit KdpB","Inorganic ion transport and metabolism"
"2440","O",190,573,"K+-transporting ATPase, KdpC subunit","Inorganic ion transport and metabolism"
"2553","A",894,2685,"K+-sensing histidine kinase KdpD","Signal transduction mechanisms"
"2858","A",284,855,"3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase","Cell wall/membrane/envelope biogenesis"
"1710","R",248,747,"CMP-2-keto-3-deoxyoctulosonic acid synthetase","Cell wall/membrane/envelope biogenesis"
"2174","O",188,567,"3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC and related HAD superfamily phosphatases","Cell wall/membrane/envelope biogenesis"
"1308","A",328,987,"D-arabinose 5-phosphate isomerase GutQ","Carbohydrate transport and metabolism"
"2056","A",360,1083,"DNA-binding transcriptional regulator, LacI/PurR family","Transcription"
"3206","C",1024,3075,"Beta-galactosidase/beta-glucuronidase","Carbohydrate transport and metabolism"
"3573","C",446,1341,"Maltoporin (phage lambda and maltose receptor)","Carbohydrate transport and metabolism"
"1495","S",329,990,"Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase","Energy production and conversion"
"677","R",599,1800,"Translation elongation factor EF-4, membrane-bound GTPase","Translation, ribosomal structure and biogenesis"
"151","A",523,1572,"Isopropylmalate/homocitrate/citramalate synthases","Amino acid transport and metabolism"
"667","O",363,1092,"Isocitrate/isopropylmalate dehydrogenase","Energy production and conversion"
"82","A",466,1401,"Homoaconitase/3-isopropylmalate dehydratase large subunit","Amino acid transport and metabolism"
"83","A",201,606,"3-isopropylmalate dehydratase small subunit","Amino acid transport and metabolism"
"704","U",860,2583,"Leucyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1113","A",291,876,"Prolipoprotein diacylglyceryltransferase","Cell wall/membrane/envelope biogenesis"
"374","R",671,2016,"NAD-dependent DNA ligase","Replication, recombination and repair"
"443","U",321,966,"Lipoate synthase","Coenzyme transport and metabolism"
"444","A",213,642,"Lipoate-protein ligase B","Coenzyme transport and metabolism"
"565","U",237,714,"ABC-type branched-chain amino acid transport system, ATPase component LivF","Amino acid transport and metabolism"
"566","C",255,768,"ABC-type branched-chain amino acid transport system, ATPase component LivG","Amino acid transport and metabolism"
"1115","S",367,1104,"ABC-type branched-chain amino acid transport system, periplasmic component","Amino acid transport and metabolism"
"1114","R",369,1110,"ABC-type branched-chain amino acid transport system, periplasmic component","Amino acid transport and metabolism"
"1821","S",396,1191,"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase","Energy production and conversion"
"2835","A",203,615,"Outer membrane lipoprotein-sorting protein","Cell wall/membrane/envelope biogenesis"
"1610","A",233,702,"ABC-type lipoprotein export system, ATPase component","Cell wall/membrane/envelope biogenesis"
"656","O",784,2355,"ATP-dependent Lon protease, bacterial type","Posttranslational modification, protein turnover, chaperones"
"NA.31","S",NA,NA,NA,NA
"3535","S",78,237,"Outer membrane murein-binding lipoprotein Lpp","Cell wall/membrane/envelope biogenesis"
"1611","S",241,726,"ABC-type lipopolysaccharide export system, ATPase component","Cell wall/membrane/envelope biogenesis"
"1933","O",784,2355,"LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)","Cell wall/membrane/envelope biogenesis"
"1480","S",262,789,"Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase","Cell wall/membrane/envelope biogenesis"
"1481","A",341,1026,"UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","Cell wall/membrane/envelope biogenesis"
"1988","S",164,495,"DNA-binding transcriptional regulator, Lrp family","Transcription"
"2347","O",333,1002,"Threonine aldolase","Amino acid transport and metabolism"
"2218","A",171,516,"S-ribosylhomocysteine lyase LuxS, autoinducer biosynthesis","Signal transduction mechanisms"
"22","U",420,1263,"Diaminopimelate decarboxylase","Amino acid transport and metabolism"
"761","A",449,1350,"Aspartate kinase","Amino acid transport and metabolism"
"1691","R",505,1518,"Lysyl-tRNA synthetase (class II)","Translation, ribosomal structure and biogenesis"
"1692","U",505,1518,"Lysyl-tRNA synthetase (class II)","Translation, ribosomal structure and biogenesis"
"389","C",759,2280,"Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)","Energy production and conversion"
"2274","A",302,909,"Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain","Carbohydrate transport and metabolism"
"2462","C",396,1191,"Maltose-binding periplasmic protein MalE","Carbohydrate transport and metabolism"
"1955","R",391,1176,"Mannose-6-phosphate isomerase, class I","Carbohydrate transport and metabolism"
"2872","U",323,972,"Phosphotransferase system, mannose/fructose-specific component IIA","Carbohydrate transport and metabolism"
"3394","A",283,852,"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IID component","Carbohydrate transport and metabolism"
"27","O",264,795,"Methionine aminopeptidase","Translation, ribosomal structure and biogenesis"
"50","S",312,939,"Malate/lactate dehydrogenase","Energy production and conversion"
"NA.32","U",NA,NA,NA,NA
"NA.33","O",NA,NA,NA,NA
"1960","C",451,1356,"Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase","Carbohydrate transport and metabolism"
"2247","S",309,930,"Homoserine O-succinyltransferase","Amino acid transport and metabolism"
"995","S",386,1161,"Cystathionine beta-lyase/cystathionine gamma-synthase","Amino acid transport and metabolism"
"994","O",395,1188,"Cystathionine beta-lyase/cystathionine gamma-synthase","Amino acid transport and metabolism"
"976","U",753,2262,"Methionine synthase II (cobalamin-independent)","Amino acid transport and metabolism"
"1117","R",296,891,"5,10-methylenetetrahydrofolate reductase","Amino acid transport and metabolism"
"92","A",677,2034,"tRNA-binding EMAP/Myf domain","Translation, ribosomal structure and biogenesis"
"1044","A",1227,3684,"Methionine synthase I (cobalamin-dependent), methyltransferase domain","Amino acid transport and metabolism"
"2349","O",217,654,"ABC-type methionine transport system, permease component","Amino acid transport and metabolism"
"3022","O",105,318,"Transcriptional regulator MetJ (met regulon)","Transcription"
"250","A",384,1155,"S-adenosylmethionine synthetase","Coenzyme transport and metabolism"
"647","O",810,2433,"Homoserine dehydrogenase","Amino acid transport and metabolism"
"1608","O",343,1032,"ABC-type methionine transport system, ATPase component","Amino acid transport and metabolism"
"1944","S",271,816,"ABC-type metal ion transport system, periplasmic component/surface antigen","Inorganic ion transport and metabolism"
"1696","A",1148,3447,"Transcription-repair coupling factor (superfamily II helicase)","Replication, recombination and repair"
"1593","C",506,1521,"ABC-type sugar transport system, ATPase component","Carbohydrate transport and metabolism"
"2230","C",332,999,"ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain","Carbohydrate transport and metabolism"
"2186","S",152,459,"Methylglyoxal synthase","Carbohydrate transport and metabolism"
"1901","C",277,834,"DNA-binding transcriptional regulator, IclR family","Transcription"
"978","R",474,1425,"tRNA A37 methylthiotransferase MiaB","Translation, ribosomal structure and biogenesis"
"2873","S",270,813,"Septum site-determining ATPase MinD","Cell cycle control, cell division, chromosome partitioning"
"1399","S",88,267,"Septum formation topological specificity factor MinE","Cell cycle control, cell division, chromosome partitioning"
"1167","O",147,444,"Flavodoxin","Energy production and conversion"
"3389","O",248,747,"Outer membrane scaffolding protein for murein synthesis, MipA/OmpV family","Cell wall/membrane/envelope biogenesis"
"678","U",368,1107,"tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain","Translation, ribosomal structure and biogenesis"
"626","R",629,1890,"tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA","Translation, ribosomal structure and biogenesis"
"430","S",161,486,"Molybdenum cofactor biosynthesis enzyme MoaC","Coenzyme transport and metabolism"
"1176","C",257,774,"ABC-type molybdate transport system, periplasmic Mo-binding protein ModA","Inorganic ion transport and metabolism"
"3497","C",352,1059,"ABC-type molybdate transport system, ATPase component ModC","Inorganic ion transport and metabolism"
"2346","A",262,789,"DNA-binding transcriptional regulator ModE (molybdenum-dependent)","Transcription"
"1576","U",490,1473,"ABC-type molybdenum transport system, ATPase component ModF/photorepair protein PhrA","Inorganic ion transport and metabolism"
"417","O",411,1236,"Molybdopterin Mo-transferase (molybdopterin biosynthesis)","Coenzyme transport and metabolism"
"1804","C",295,888,"Flagellar motor component MotA","Cell motility"
"1869","U",308,927,"Flagellar motor protein MotB","Cell motility"
"2215","U",176,531,"DNA-binding transcriptional regulator, MarR family","Transcription"
"852","R",548,1647,"L-2-hydroxyglutarate oxidase LhgO","Carbohydrate transport and metabolism"
"NA.34","R",NA,NA,NA,NA
"3681","U",850,2553,"Membrane carboxypeptidase/penicillin-binding protein","Cell wall/membrane/envelope biogenesis"
"1540","R",347,1044,"Cell shape-determining ATPase MreB, actin-like superfamily","Cell cycle control, cell division, chromosome partitioning"
"689","A",369,1110,"Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family","Cell cycle control, cell division, chromosome partitioning"
"1606","O",582,1749,"ABC-type multidrug transport system, ATPase and permease component","Defense mechanisms"
"1090","O",286,861,"Small-conductance mechanosensitive channel","Cell wall/membrane/envelope biogenesis"
"293","S",137,414,"Peptide methionine sulfoxide reductase MsrB","Posttranslational modification, protein turnover, chaperones"
"NA.35","A",NA,NA,NA,NA
"3198","S",265,798,"Mlc titration factor MtfA, regulates ptsG expression","Signal transduction mechanisms"
"2587","C",637,1914,"Phosphotransferase system, mannitol-specific IIBC component","Carbohydrate transport and metabolism"
"328","A",382,1149,"Mannitol-1-phosphate/altronate dehydrogenases","Carbohydrate transport and metabolism"
"NA.36","O",NA,NA,NA,NA
"3356","S",168,507,"G:T/U-mismatch repair DNA glycosylase","Replication, recombination and repair"
"3064","A",1486,4461,"Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB","Cell cycle control, cell division, chromosome partitioning"
"3063","O",234,678,"Chromosome condensin MukBEF, MukE localization factor","Cell cycle control, cell division, chromosome partitioning"
"1251","O",419,1260,"UDP-N-acetylglucosamine enolpyruvyl transferase","Cell wall/membrane/envelope biogenesis"
"1257","A",438,1317,"UDP-N-acetylmuramoylalanine-D-glutamate ligase","Cell wall/membrane/envelope biogenesis"
"1255","O",495,1488,"UDP-N-acetylmuramyl tripeptide synthase","Cell wall/membrane/envelope biogenesis"
"337","C",853,2562,"DNA mismatch repair ATPase MutS","Replication, recombination and repair"
"35","A",540,1623,"Aspartate oxidase","Coenzyme transport and metabolism"
"215","A",275,828,"NH3-dependent NAD+ synthetase","Coenzyme transport and metabolism"
"2195","R",382,1149,"N-acetylglucosamine-6-phosphate deacetylase","Carbohydrate transport and metabolism"
"NA.37","S",NA,NA,NA,NA
"1754","C",648,1947,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific","Carbohydrate transport and metabolism"
"1947","O",341,1026,"Periplasmic beta-glucosidase and related glycosidases","Carbohydrate transport and metabolism"
"455","C",297,894,"4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase","Amino acid transport and metabolism"
"2494","A",216,651,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains","Signal transduction mechanisms"
"2497","S",215,648,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains","Signal transduction mechanisms"
"1747","O",434,1305,"NADH dehydrogenase, FAD-containing subunit","Energy production and conversion"
"131","C",143,432,"Nucleoside diphosphate kinase","Nucleotide transport and metabolism"
"NA.38","R",NA,NA,NA,NA
"NA.39","A",NA,NA,NA,NA
"1271","O",240,723,"Nitroreductase","Energy production and conversion"
"434","O",191,576,"Fe-S cluster assembly iron-binding protein IscA","Posttranslational modification, protein turnover, chaperones"
"NA.40","U",NA,NA,NA,NA
"1945","R",272,819,"ABC-type metal ion transport system, periplasmic component/surface antigen","Inorganic ion transport and metabolism"
"NA.41","S",NA,NA,NA,NA
"1194","R",379,1140,"Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain","Cell wall/membrane/envelope biogenesis"
"NA.42","C",NA,NA,NA,NA
"270","A",761,2286,"Ribonucleotide reductase alpha subunit","Nucleotide transport and metabolism"
"268","S",376,1131,"Ribonucleotide reductase beta subunit, ferritin-like domain","Nucleotide transport and metabolism"
"703","U",186,561,"8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family","Defense mechanisms"
"1366","O",147,444,"NADH:ubiquinone oxidoreductase subunit 3 (chain A)","Energy production and conversion"
"522","O",220,663,"NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase","Energy production and conversion"
"1047","O",596,1791,"NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)","Energy production and conversion"
"2252","C",166,501,"NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)","Energy production and conversion"
"2244","S",445,1338,"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)","Energy production and conversion"
"1477","O",908,2727,"NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)","Energy production and conversion"
"1625","R",180,543,"Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)","Energy production and conversion"
"253","R",495,1488,"Transcription antitermination factor NusA, contains S1 and KH domains","Transcription"
"1276","A",139,420,"Transcription antitermination protein NusB","Transcription"
"339","O",181,546,"Transcription termination/antitermination protein NusG","Transcription"
"NA.43","R",NA,NA,NA,NA
"2865","A",346,1041,"Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins","Cell wall/membrane/envelope biogenesis"
"3184","C",367,1104,"Outer membrane porin OmpC/OmpF/PhoE","Cell wall/membrane/envelope biogenesis"
"3182","O",362,1089,"Outer membrane porin OmpC/OmpF/PhoE","Cell wall/membrane/envelope biogenesis"
"1214","S",239,720,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain","Signal transduction mechanisms"
"3559","A",317,954,"Outer membrane protease","Cell wall/membrane/envelope biogenesis"
"3352","O",171,516,"Opacity protein LomR and related surface antigens","Cell wall/membrane/envelope biogenesis"
"3504","S",543,1632,"ABC-type oligopeptide transport system, periplasmic component","Amino acid transport and metabolism"
"625","S",337,1014,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component","Amino acid transport and metabolism"
"621","A",334,1005,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component","Amino acid transport and metabolism"
"2286","A",181,546,"Oligoribonuclease (3'-5' exoribonuclease)","RNA processing and modification"
"2167","S",143,432,"Organic hydroperoxide reductase OsmC/OhrA","Defense mechanisms"
"NA.44","S",NA,NA,NA,NA
"2825","A",201,606,"Osmotically-inducible protein OsmY, contains BON domain","Cell wall/membrane/envelope biogenesis"
"NA.45","U",NA,NA,NA,NA
"903","O",305,918,"DNA-binding transcriptional regulator, LysR family","Transcription"
"2864","R",173,522,"Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins","Cell wall/membrane/envelope biogenesis"
"568","R",264,795,"Ketopantoate hydroxymethyltransferase","Coenzyme transport and metabolism"
"569","A",283,852,"Panthothenate synthetase","Coenzyme transport and metabolism"
"1401","A",126,381,"Aspartate 1-decarboxylase","Coenzyme transport and metabolism"
"242","U",752,2259,"DNA gyrase/topoisomerase IV, subunit A","Replication, recombination and repair"
"239","U",630,1893,"DNA gyrase/topoisomerase IV, subunit B","Replication, recombination and repair"
"NA.46","O",NA,NA,NA,NA
"974","S",465,1398,"tRNA nucleotidyltransferase/poly(A) polymerase","Translation, ribosomal structure and biogenesis"
"141","A",378,1137,"Phosphoglycerate dehydrogenase or related dehydrogenase","Coenzyme transport and metabolism"
"356","S",218,657,"Pyridoxine/pyridoxamine 5'-phosphate oxidase","Coenzyme transport and metabolism"
"1402","S",243,732,"Pyridoxine 5'-phosphate synthase PdxJ","Coenzyme transport and metabolism"
"2625","S",283,852,"Pyridoxal/pyridoxine/pyridoxamine kinase","Coenzyme transport and metabolism"
"358","O",503,1512,"Leucyl aminopeptidase","Amino acid transport and metabolism"
"357","O",427,1284,"Leucyl aminopeptidase","Amino acid transport and metabolism"
"2490","S",485,1458,"Di- or tripeptidase","Amino acid transport and metabolism"
"424","S",870,2613,"Aminopeptidase N, contains DUF3458 domain","Amino acid transport and metabolism"
"6","S",441,1326,"Xaa-Pro aminopeptidase","Amino acid transport and metabolism"
"7","S",443,1332,"Xaa-Pro aminopeptidase","Amino acid transport and metabolism"
"265","O",320,963,"6-phosphofructokinase","Carbohydrate transport and metabolism"
"1559","A",309,930,"1-phosphofructokinase or 6-phosphofructokinase II","Carbohydrate transport and metabolism"
"1677","A",246,741,"Pyruvate-formate lyase-activating enzyme","Posttranslational modification, protein turnover, chaperones"
"2238","S",760,2283,"Pyruvate-formate lyase","Energy production and conversion"
"207","A",549,1650,"Glucose-6-phosphate isomerase","Carbohydrate transport and metabolism"
"160","A",387,1164,"3-phosphoglycerate kinase","Carbohydrate transport and metabolism"
"2739","S",331,996,"6-phosphogluconolactonase, cycloisomerase 2 family","Carbohydrate transport and metabolism"
"39","S",546,1641,"Phosphoglucomutase/phosphomannomutase","Carbohydrate transport and metabolism"
"99","A",386,1161,"Prephenate dehydratase","Amino acid transport and metabolism"
"19","A",327,984,"Phenylalanyl-tRNA synthetase alpha subunit","Translation, ribosomal structure and biogenesis"
"90","A",795,2388,"Phenylalanyl-tRNA synthetase beta subunit","Translation, ribosomal structure and biogenesis"
"1209","O",223,672,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain","Signal transduction mechanisms"
"NA.47","R",NA,NA,NA,NA
"NA.48","O",NA,NA,NA,NA
"2904","C",807,2424,"Glycerol-3-phosphate O-acyltransferase","Lipid transport and metabolism"
"427","S",450,1353,"Zn-dependent protease PmbA/TldA or its inactivated homolog","General function prediction only"
"1962","O",400,1203,"Nicotinic acid phosphoribosyltransferase","Coenzyme transport and metabolism"
"1683","O",711,2136,"Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)","Translation, ribosomal structure and biogenesis"
"3234","A",510,1533,"NAD/NADP transhydrogenase alpha subunit","Energy production and conversion"
"1793","A",462,1389,"NAD/NADP transhydrogenase beta subunit","Energy production and conversion"
"355","O",928,2787,"5'-3' exonuclease Xni/ExoIX (flap endonuclease)","Replication, recombination and repair"
"1119","S",348,1047,"Spermidine/putrescine-binding periplasmic protein","Amino acid transport and metabolism"
"1118","O",370,1113,"Spermidine/putrescine-binding periplasmic protein","Amino acid transport and metabolism"
"284","U",176,531,"Inorganic pyrophosphatase","Energy production and conversion"
"2691","A",883,2652,"Phosphoenolpyruvate carboxylase","Energy production and conversion"
