"","gene","locus","gene.length..nt."
"1030","glyQ","b3560",912
"1031","glyS","b3559",2070
"1032","gmd","b2053",1122
"1033","gmhB","b0200",576
"1034","gmk","b3648",624
"1035","gmm","b2051",480
"1036","gnd","b2029",1407
"1037","gnsA","b4517",174
"1038","gnsB","b1550",174
"1039","gntK","b3437",528
"1040","gntP","b4321",1344
"1041","gntR","b3438",996
"1042","gntT","b3415",1317
"1043","gntU","b4476",1341
"1044","gntX","b3413",684
"1045","gor","b3500",1353
"1046","gph","b3385",759
"1047","gpmA","b0755",753
"1048","gpmM","b3612",1545
"1049","gpp","b3779",1485
"1050","gpsA","b3608",1020
"1051","gpt","b0238",459
"1052","grcA","b2579",384
"1053","greA","b3181",477
"1054","greB","b3406",477
"1055","groL","b4143",1647
"1056","groS","b4142",294
"1057","grpE","b2614",594
"1058","grxA","b0849",258
"1059","grxB","b1064",648
"1060","grxC","b3610",252
"1061","grxD","b1654",348
"1062","gshA","b2688",1557
"1063","gshB","b2947",951
"1064","gsiA","b0829",1839
"1065","gsiB","b0830",1539
"1066","gsiC","b0831",921
"1067","gsiD","b0832",912
"1068","gsk","b0477",1305
"1069","gspA","b3323",1470
"1070","gspB","b3322",420
"1071","gspC","b3324",816
"1072","gspD","b3325",1953
"1073","gspE","b3326",1482
"1074","gspF","b3327",1197
"1075","gspG","b3328",438
"1076","gspH","b3329",510
"1077","gspI","b3330",378
"1078","gspJ","b3331",588
"1079","gspK","b3332",984
"1080","gspL","b3333",1164
"1081","gspM","b3334",462
"1082","gspO","b3335",678
"1083","gss","b2988",1860
"1084","gstA","b1635",606
"1085","gstB","b0838",627
"1086","guaA","b2507",1578
"1087","guaB","b2508",1467
"1088","guaC","b0104",1044
"1089","guaD","b2883",1320
"1090","gudD","b2787",1341
"1091","gudP","b2789",1353
"1092","gudX","b2788",1341
"1093","gutM","b2706",360
"1094","gutQ","b2708",966
"1095","gyrA","b2231",2628
"1096","gyrB","b3699",2415
"1097","hcaB","b2541",813
"1098","hcaC","b2540",321
"1099","hcaD","b2542",1203
"1100","hcaE","b2538",1362
"1101","hcaF","b2539",519
"1102","hcaR","b2537",891
"1103","hcaT","b2536",1140
"1104","hchA","b1967",852
"1105","hcp","b0873",1653
"1106","hcr","b0872",969
"1107","hda","b2496",702
"1108","hdeA","b3510",333
"1109","hdeB","b3509",327
"1110","hdeD","b3511",573
"1111","hdfR","b4480",840
"1112","hdhA","b1619",768
"1113","helD","b0962",2055
"1114","hemA","b1210",1257
"1115","hemB","b0369",975
"1116","hemC","b3805",942
"1117","hemD","b3804",741
"1118","hemE","b3997",1065
"1119","hemF","b2436",900
"1120","hemG","b3850",546
"1121","hemH","b0475",963
"1122","hemL","b0154",1281
"1123","hemN","b3867",1374
"1124","hemX","b3803",1182
"1125","hemY","b3802",1197
"1126","hflC","b4175",1005
"1127","hflD","b1132",642
"1128","hflK","b4174",1260
"1129","hflX","b4173",1281
"1130","hfq","b4172",309
"1131","hha","b0460",219
"1132","hicA","b4532",177
"1133","hicB","b1438",438
"1134","higA","b3082",417
"1135","higB","b3083",315
"1136","hinT","b1103",360
"1137","hipA","b1507",1323
"1138","hipB","b1508",267
"1139","hisA","b2024",738
"1140","hisB","b2022",1068
"1141","hisC","b2021",1071
"1142","hisD","b2020",1305
"1143","hisF","b2025",777
"1144","hisG","b2019",900
"1145","hisH","b2023",591
"1146","hisI","b2026",612
"1147","hisJ","b2309",783
"1148","hisL","b2018",51
"1149","hisM","b2307",717
"1150","hisP","b2306",774
"1151","hisQ","b2308",687
"1152","hisS","b2514",1275
"1153","hlyE","b1182",912
"1154","hmp","b2552",1191
"1155","hns","b1237",414
"1156","hofB","b0107",1386
"1157","hofC","b0106",1203
"1158","hofM","b3395",780
"1159","hofN","b3394",540
"1160","hofO","b3393",441
"1161","hofP","b3392",405
"1162","hofQ","b3391",1239
"1163","hokA","b4455",153
"1164","hokB","b4428",150
"1165","hokC","b4412",153
"1166","hokD","b1562",156
"1167","hokE","b4415",153
"1168","holA","b0640",1032
"1169","holB","b1099",1005
"1170","holC","b4259",444
"1171","holD","b4372",414
"1172","holE","b1842",231
"1173","hpf","b3203",288
"1174","hpt","b0125",537
"1175","hrpA","b1413",3846
"1176","hrpB","b0148",2430
"1177","hscA","b2526",1851
"1178","hscB","b2527",516
"1179","hscC","b0650",1671
"1180","hsdM","b4349",1590
"1181","hsdR","b4350",3567
"1182","hsdS","b4348",1395
"1183","hslJ","b1379",423
"1184","hslO","b3401",879
"1185","hslR","b3400",402
"1186","hslU","b3931",1332
"1187","hslV","b3932",531
"1188","hspQ","b0966",318
"1189","hsrA","b3754",1428
"1190","htgA","b0012",486
"1191","htpG","b0473",1875
"1192","htpX","b1829",882
"1193","htrE","b0139",2598
"1194","htrL","b3618",858
"1195","hupA","b4000",273
"1196","hupB","b0440",273
"1197","hyaA","b0972",1119
"1198","hyaB","b0973",1794
"1199","hyaC","b0974",708
"1200","hyaD","b0975",588
"1201","hyaE","b0976",399
"1202","hyaF","b0977",858
"1203","hybA","b2996",987
"1204","hybB","b2995",1179
"1205","hybC","b2994",1704
"1206","hybD","b2993",495
"1207","hybE","b2992",489
"1208","hybF","b2991",342
"1209","hybG","b2990",249
"1210","hybO","b2997",1119
"1211","hycA","b2725",462
"1212","hycB","b2724",612
"1213","hycC","b2723",1827
"1214","hycD","b2722",924
"1215","hycE","b2721",1710
"1216","hycF","b2720",543
"1217","hycG","b2719",768
"1218","hycH","b2718",411
"1219","hycI","b2717",471
"1220","hydN","b2713",528
"1221","hyfA","b2481",618
"1222","hyfB","b2482",2019
"1223","hyfC","b2483",948
"1224","hyfD","b2484",1440
"1225","hyfE","b2485",651
"1226","hyfF","b2486",1581
"1227","hyfG","b2487",1668
"1228","hyfH","b2488",546
"1229","hyfI","b2489",759
"1230","hyfJ","b2490",414
"1231","hyfR","b2491",2013
"1232","hyi","b0508",777
"1233","hypA","b2726",351
"1234","hypB","b2727",873
"1235","hypC","b2728",273
"1236","hypD","b2729",1122
"1237","hypE","b2730",969
"1238","hypF","b2712",2253
"1239","hypT","b4327",912
"1240","hyuA","b2873",1386
"1241","iaaA","b0828",966
"1242","iadA","b4328",1173
"1243","iap","b2753",1038
"1244","ibaG","b3190",255
"1245","ibpA","b3687",414
"1246","ibpB","b3686",429
"1247","icd","b1136",1251
"1248","icdC","b4519",153
"1249","iclR","b4018",825
"1250","idi","b2889",549
"1251","idnD","b4267",1032
"1252","idnK","b4268",564
"1253","idnO","b4266",765
"1254","idnR","b4264",999
"1255","idnT","b4265",1320
"1256","ihfA","b1712",300
"1257","ihfB","b0912",285
"1258","ileS","b0026",2817
"1259","ilvA","b3772",1545
"1260","ilvB","b3671",1689
"1261","ilvC","b3774",1476
"1262","ilvD","b3771",1851
"1263","ilvE","b3770",930
"1264","ilvG_1","b3767",984
"1265","ilvG_2","b3768",582
"1266","ilvH","b0078",492
"1267","ilvI","b0077",1725
"1268","ilvL","b3766",99
"1269","ilvM","b3769",264
"1270","ilvN","b3670",291
"1271","ilvX","b4669",51
"1272","ilvY","b3773",894
"1273","inaA","b2237",651
"1274","infA","b0884",219
"1275","infB","b3168",2673
"1276","infC","b1718",543
"1277","insA-1","b0022",276
"1278","insA-2","b0265",276
"1279","insA-3","b0275",276
"1280","insA-4","b4516",276
"1281","insA-5","b1894",276
"1282","insA-6","b3444",276
"1283","insA-7","b4294",276
"1284","insAB-1","0",698
"1285","insAB-2","0",698
"1286","insAB-3","0",698
"1287","insAB-4","0",698
"1288","insAB-5","0",698
"1289","insAB-6","0",698
"1290","insB-1","b0021",504
"1291","insB-2","b0264",504
"1292","insB-4","b0988",504
"1293","insC-1","b0360",411
"1294","insC-2","b1403",411
"1295","insC-3","b1997",411
"1296","insC-4","b2861",411
"1297","insC-5","b3044",411
"1298","insC-6","b4272",411
"1299","insCD-1","0",1274
"1300","insCD-2","0",1274
"1301","insCD-3","0",1274
"1302","insCD-4","0",1274
"1303","insCD-5","0",1274
"1304","insCD-6","0",1274
"1305","insD","b1578",657
"1306","insD-1","b0361",906
"1307","insE-1","b0298",309
"1308","insE-2","b0373",309
"1309","insE-3","b0540",309
"1310","insE-4","b1027",309
"1311","insE-5","b2088",309
"1312","insEF-1","0",1172
"1313","insEF-2","0",1172
"1314","insEF-3","0",1172
"1315","insEF-4","0",1172
"1316","insEF-5","0",1172
"1317","insF-1","b0299",867
"1318","insG","b4278",1329
"1319","insH-1","b0259",1017
"1320","insH-10","b3218",1017
"1321","insH-11","b3505",1017
"1322","insH-2","b0552",1017
"1323","insH-3","b0656",1017
"1324","insH-4","b1331",1017
"1325","insH-5","b1370",981
"1326","insH-6","b1994",1017
"1327","insH-7","b2030",1017
"1328","insH-8","b2192",1017
"1329","insH-9","b2982",1017
"1330","insI-1","b0256",1152
"1331","insI-2","b1404",1152
"1332","insI-3","b4284",1152
"1333","insJ","b3557",522
"1334","insJK","0",1370
"1335","insK","b3558",896
"1336","insL-1","b0016",1113
"1337","insL-2","b0582",1113
"1338","insL-3","b2394",1113
"1339","insN-1","b0255",405
"1340","insN-2","b4283",267
"1341","insO-1","b0257",426
"1342","insO-2","b4285",597
"1343","intA","b2622",1242
"1344","intB","b4271",1191
"1345","intD","b0537",1164
"1346","intE","b1140",1128
"1347","intF","b0281",1401
"1348","intG","b1936",279
"1349","intQ","b1579",1197
"1350","intR","b1345",1236
"1351","intS","b2349",1158
"1352","intZ","b2442",1296
"1353","iraD","b4326",393
"1354","iraM","b1160",324
"1355","iraP","b0382",261
"1356","iroK","b4706",66
"1357","iscA","b2528",324
"1358","iscR","b2531",489
"1359","iscS","b2530",1215
"1360","iscU","b2529",387
"1361","iscX","b2524",201
"1362","ispA","b0421",900
"1363","ispB","b3187",972
"1364","ispD","b2747",711
"1365","ispE","b1208",852
"1366","ispF","b2746",480
"1367","ispG","b2515",1119
"1368","ispH","b0029",951
"1369","ispU","b0174",762
"1370","ivbL","b3672",99
"1371","ivy","b0220",474
"1372","katE","b1732",2262
"1373","katG","b3942",2181
"1374","kbaY","b3137",861
"1375","kbaZ","b3132",1281
"1376","kbl","b3617",1197
"1377","kch","b1250",1254
"1378","kdgK","b3526",930
"1379","kdgR","b1827",792
"1380","kdgT","b3909",984
"1381","kdpA","b0698",1674
"1382","kdpB","b0697",2049
"1383","kdpC","b0696",573
"1384","kdpD","b0695",2685
"1385","kdpE","b0694",678
"1386","kdpF","b4513",90
"1387","kdsA","b1215",855
"1388","kdsB","b0918",747
"1389","kdsC","b3198",567
"1390","kdsD","b3197",987
"1391","kduD","b2842",762
"1392","kduI","b2843",837
"1393","kefB","b3350",1806
"1394","kefC","b0047",1863
"1395","kefF","b0046",531
"1396","kefG","b3351",555
"1397","kgtP","b2587",1299
"1398","kilR","b1352",222
"1399","kptA","b4331",555
"1400","kup","b3747",1869
"1401","lacA","b0342",612
"1402","lacI","b0345",1083
"1403","lacY","b0343",1254
"1404","lacZ","b0344",3075
"1405","lafU","b0230",756
"1406","lamB","b4036",1341
"1407","lapA","b1279",309
"1408","lapB","b1280",1170
"1409","ldcA","b1192",915
"1410","ldcC","b0186",2142
"1411","ldhA","b1380",990
"1412","ldrA","b4419",108
"1413","ldrB","b4421",108
"1414","ldrC","b4423",108
"1415","ldrD","b4453",108
"1416","ldtA","b1990",933
"1417","ldtB","b0819",921
"1418","ldtC","b1113",963
"1419","ldtD","b0925",1848
"1420","ldtE","b1678",1005
"1421","lepA","b2569",1800
"1422","lepB","b2568",975
"1423","leuA","b0074",1572
"1424","leuB","b0073",1092
"1425","leuC","b0072",1401
"1426","leuD","b0071",606
"1427","leuE","b1798",639
"1428","leuL","b0075",87
"1429","leuO","b0076",945
"1430","leuS","b0642",2583
"1431","lexA","b4043",609
"1432","lfhA","b0229",1713
"1433","lgoD","b4358",1023
"1434","lgoR","b4357",915
"1435","lgoT","b4356",1362
"1436","lgt","b2828",876
"1437","lhgO","b2660",1269
"1438","lhr","b1653",4617
"1439","ligA","b2411",2016
"1440","ligB","b3647",1683
"1441","lipA","b0628",966
"1442","lipB","b0630",642
"1443","lit","b1139",894
"1444","livF","b3454",714
"1445","livG","b3455",768
"1446","livH","b3457",927
"1447","livJ","b3460",1104
"1448","livK","b3458",1110
"1449","livM","b3456",1278
"1450","lldD","b3605",1191
"1451","lldP","b3603",1656
"1452","lldR","b3604",777
"1453","lnt","b0657",1539
"1454","loiP","b2936",759
"1455","lolA","b0891",615
"1456","lolB","b1209",624
"1457","lolC","b1116",1200
"1458","lolD","b1117",702
"1459","lolE","b1118",1245
"1460","lomR_1","b1369",156
"1461","lomR_2","b1371",171
"1462","lon","b0439",2355
"1463","lpcA","b0222",579
"1464","lpd","b0116",1425
"1465","lplA","b4386",1017
"1466","lplT","b2835",1194
"1467","lpoA","b3147",2037
"1468","lpoB","b1105",642
"1469","lpp","b1677",237
"1470","lptA","b3200",558
"1471","lptB","b3201",726
"1472","lptC","b3199",576
"1473","lptD","b0054",2355
"1474","lptE","b0641",582
"1475","lptF","b4261",1101
"1476","lptG","b4262",1083
"1477","lpxA","b0181",789
"1478","lpxB","b0182",1149
"1479","lpxC","b0096",918
"1480","lpxD","b0179",1026
"1481","lpxH","b0524",723
"1482","lpxK","b0915",987
"1483","lpxL","b1054",921
"1484","lpxM","b1855",972
"1485","lpxP","b2378",921
"1486","lpxT","b2174",714
"1487","lrhA","b2289",939
"1488","lrp","b0889",495
"1489","lspA","b0027",495
"1490","lsrA","b1513",1536
"1491","lsrB","b1516",1023
"1492","lsrC","b1514",1029
"1493","lsrD","b1515",993
"1494","lsrF","b1517",876
"1495","lsrG","b1518",291
"1496","lsrK","b1511",1593
"1497","lsrR","b1512",954
"1498","ltaE","b0870",1002
"1499","luxS","b2687",516
"1500","lysA","b2838",1263
"1501","lysC","b4024",1350
"1502","lysO","b0874",900
"1503","lysP","b2156",1470
"1504","lysR","b2839",936
"1505","lysS","b2890",1518
"1506","lysU","b4129",1518
"1507","lyxK","b3580",1497
"1508","maa","b0459",552
"1509","macA","b0878",1116
"1510","macB","b0879",1947
"1511","maeA","b1479",1698
"1512","maeB","b2463",2280
"1513","mak","b0394",909
"1514","malE","b4034",1191
"1515","malF","b4033",1545
"1516","malG","b4032",891
"1517","malI","b1620",1029
"1518","malK","b4035",1116
"1519","malM","b4037",921
"1520","malP","b3417",2394
"1521","malQ","b3416",2085
"1522","malS","b3571",2031
"1523","malT","b3418",2706
"1524","malX","b1621",1593
"1525","malY","b1622",1173
"1526","malZ","b0403",1815
"1527","manA","b1613",1176
"1528","manX","b1817",972
"1529","manY","b1818",801
"1530","manZ","b1819",852
"1531","map","b0168",795
"1532","marA","b1531",384
"1533","marB","b1532",219
"1534","marC","b1529",666
"1535","marR","b1530",435
"1536","matP","b0956",453
"1537","mazE","b2783",249
"1538","mazF","b2782",336
"1539","mazG","b2781",792
"1540","mcbA","b0806",261
"1541","mcbR","b1450",666
"1542","mcrA","b1159",834
"1543","mcrB","b4346",1380
"1544","mcrC","b4345",1047
"1545","mdaB","b3028",582
"1546","mdfA","b0842",1233
"1547","mdh","b3236",939
"1548","mdlA","b0448",1773
"1549","mdlB","b0449",1782
"1550","mdtA","b2074",1248
"1551","mdtB","b2075",3123
"1552","mdtC","b2076",3078
"1553","mdtD","b2077",1416
"1554","mdtE","b3513",1158
"1555","mdtF","b3514",3114
"1556","mdtG","b1053",1227
"1557","mdtH","b1065",1209
"1558","mdtI","b1599",330
"1559","mdtJ","b1600",366
"1560","mdtK","b1663",1374
"1561","mdtL","b3710",1176
"1562","mdtM","b4337",1233
"1563","mdtN","b4082",1032
"1564","mdtO","b4081",2052
"1565","mdtP","b4080",1467
"1566","mdtQ","b2138",1089
"1567","melA","b4119",1356
"1568","melB","b4120",1422
"1569","melR","b4118",909
"1570","menA","b3930",927
"1571","menB","b2262",858
"1572","menC","b2261",963
"1573","menD","b2264",1671
"1574","menE","b2260",1356
"1575","menF","b2265",1296
"1576","menH","b2263",759
"1577","menI","b1686",411
"1578","mepA","b2328",825
"1579","mepH","b1655",816
"1580","mepM","b1856",1323
"1581","mepS","b2175",567
"1582","metA","b4013",930
"1583","metB","b3939",1161
"1584","metC","b3008",1188
"1585","metE","b3829",2262
"1586","metF","b3941",891
"1587","metG","b2114",2034
"1588","metH","b4019",3684
"1589","metI","b0198",654
"1590","metJ","b3938",318
"1591","metK","b2942",1155
"1592","metL","b3940",2433
"1593","metN","b0199",1032
"1594","metQ","b0197",816
"1595","metR","b3828",954
"1596","mfd","b1114",3447
"1597","mglA","b2149",1521
"1598","mglB","b2150",999
"1599","mglC","b2148",1011
"1600","mgrB","b1826",144
"1601","mgsA","b0963",459
"1602","mgtA","b4242",2697
"1603","mgtL","b4702",54
"1604","mhpA","b0347",1665
"1605","mhpB","b0348",945
"1606","mhpC","b0349",867
"1607","mhpD","b0350",810
"1608","mhpE","b0352",1014
"1609","mhpF","b0351",951
"1610","mhpR","b0346",834
"1611","mhpT","b0353",1212
"1612","miaA","b4171",951
"1613","miaB","b0661",1425
"1614","minC","b1176",696
"1615","minD","b1175",813
"1616","minE","b1174",267
"1617","mioC","b3742",444
"1618","mipA","b1782",747
"1619","mlaA","b2346",756
"1620","mlaB","b3191",294
"1621","mlaC","b3192",636
"1622","mlaD","b3193",552
"1623","mlaE","b3194",783
"1624","mlaF","b3195",810
"1625","mlc","b1594",1221
"1626","mliC","b1639",330
"1627","mlrA","b2127",732
"1628","mltA","b2813",1098
"1629","mltB","b2701",1086
"1630","mltC","b2963",1080
"1631","mltD","b0211",1359
"1632","mltF","b2558",1557
"1633","mltG","b1097",1023
"1634","mmuM","b0261",933
"1635","mmuP","b0260",1404
"1636","mnaT","b1448",519
"1637","mngA","b0731",1977
"1638","mngB","b0732",2634
"1639","mngR","b0730",723
"1640","mnmA","b1133",1107
"1641","mnmC","b2324",2007
"1642","mnmE","b3706",1365
"1643","mnmG","b3741",1890
"1644","mntH","b2392",1239
"1645","mntP","b1821",567
"1646","mntR","b0817",468
"1647","mntS","b4705",129
"1648","moaA","b0781",990
"1649","moaB","b0782",513
"1650","moaC","b0783",486
"1651","moaD","b0784",246
"1652","moaE","b0785",453
"1653","mobA","b3857",585
"1654","mobB","b3856",528
"1655","mocA","b2877",579
"1656","modA","b0763",774
"1657","modB","b0764",690
"1658","modC","b0765",1059
"1659","modE","b0761",789
"1660","modF","b0760",1473
"1661","moeA","b0827",1236
"1662","moeB","b0826",750
"1663","mog","b0009",588
"1664","mokB","b1420",168
"1665","mokC","b0018",210
"1666","molR_1","b2115",825
"1667","molR_2","b2116",1938
"1668","molR_3","b2117",948
"1669","motA","b1890",888
"1670","motB","b1889",927
"1671","mpaA","b1326",729
"1672","mpl","b4233",1374
"1673","mppA","b1329",1614
"1674","mprA","b2684",531
"1675","mqo","b2210",1647
"1676","mqsA","b3021",396
"1677","mqsR","b3022",297
"1678","mraY","b0087",1083
"1679","mraZ","b0081",459
"1680","mrcA","b3396",2553
"1681","mrcB","b0149",2535
"1682","mrdA","b0635",1902
"1683","mrdB","b0634",1113
"1684","mreB","b3251",1044
"1685","mreC","b3250",1104
"1686","mreD","b3249",489
"1687","mrp","b2113",1110
"1688","mrr","b4351",915
"1689","msbA","b0914",1749
"1690","mscK","b0465",3363
"1691","mscL","b3291",411
"1692","mscM","b4159",3324
"1693","mscS","b2924",861
"1694","msrA","b4219",639
"1695","msrB","b1778",414
"1696","msrC","b1832",552
"1697","msrP","b1971",1005
"1698","msrQ","b1972",636
"1699","msyB","b1051",375
"1700","mtfA","b1976",798
"1701","mtgA","b3208",729
"1702","mtlA","b3599",1914
"1703","mtlD","b3600",1149
"1704","mtlR","b3601",588
"1705","mtn","b0159",699
"1706","mtr","b3161",1245
"1707","mug","b3068",507
"1708","mukB","b0924",4461
"1709","mukE","b0923",678
"1710","mukF","b0922",1323
"1711","murA","b3189",1260
"1712","murB","b3972",1029
"1713","murC","b0091",1476
"1714","murD","b0088",1317
"1715","murE","b0085",1488
"1716","murF","b0086",1359
"1717","murG","b0090",1068
"1718","murI","b3967",858
"1719","murJ","b1069",1536
"1720","murP","b2429",1425
"1721","murQ","b2428",897
"1722","murR","b2427",858
"1723","mutH","b2831",690
"1724","mutL","b4170",1848
"1725","mutM","b3635",810
"1726","mutS","b2733",2562
"1727","mutT","b0099",390
"1728","mutY","b2961",1053
"1729","mzrA","b3096",384
"1730","nac","b1988",918
"1731","nadA","b0750",1044
"1732","nadB","b2574",1623
"1733","nadC","b0109",894
"1734","nadD","b0639",642
"1735","nadE","b1740",828
"1736","nadK","b2615",879
"1737","nadR","b4390",1233
"1738","nagA","b0677",1149
"1739","nagB","b0678",801
"1740","nagC","b0676",1221
"1741","nagE","b0679",1947
"1742","nagK","b1119",912
"1743","nagZ","b1107",1026
"1744","nanA","b3225",894
"1745","nanC","b4311",717
"1746","nanE","b3223",690
"1747","nanK","b3222",876
"1748","nanM","b4310",1107
"1749","nanR","b3226",792
"1750","nanS","b4309",981
"1751","nanT","b3224",1491
"1752","napA","b2206",2487
"1753","napB","b2203",450
"1754","napC","b2202",603
"1755","napD","b2207",264
"1756","napF","b2208",495
"1757","napG","b2205",696
"1758","napH","b2204",864
"1759","narG","b1224",3744
"1760","narH","b1225",1539
"1761","narI","b1227",678
"1762","narJ","b1226",711
"1763","narK","b1223",1392
"1764","narL","b1221",651
"1765","narP","b2193",648
"1766","narQ","b2469",1701
"1767","narU","b1469",1389
"1768","narV","b1465",681
"1769","narW","b1466",696
"1770","narX","b1222",1797
"1771","narY","b1467",1545
"1772","narZ","b1468",3741
"1773","ndh","b1109",1305
"1774","ndk","b2518",432
"1775","nei","b0714",792
"1776","nemA","b1650",1098
"1777","nemR","b1649",600
"1778","nepI","b3662",1191
"1779","nfi","b3998",672
"1780","nfo","b2159",858
"1781","nfrA","b0568",2973
"1782","nfrB","b0569",2238
"1783","nfsA","b0851",723
"1784","nfsB","b0578",654
"1785","nfuA","b3414",576
"1786","nhaA","b0019",1167
"1787","nhaB","b1186",1542
"1788","nhaR","b0020",906
"1789","nhoA","b1463",846
"1790","nikA","b3476",1575
"1791","nikB","b3477",945
"1792","nikC","b3478",834
"1793","nikD","b3479",765
"1794","nikE","b3480",807
"1795","nikR","b3481",402
"1796","nimR","b1790",822
"1797","nimT","b1791",1182
"1798","ninE","b0548",171
"1799","nirB","b3365",2544
"1800","nirC","b3367",807
"1801","nirD","b3366",327
"1802","nlpA","b3661",819
"1803","nlpC","b1708",465
"1804","nlpD","b2742",1140
"1805","nlpE","b0192",711
"1806","nlpI","b3163",885
"1807","nmpC","b0553",1068
"1808","nohA","b1548",570
"1809","nohB","b0560",546
"1810","norR","b2709",1515
"1811","norV","b2710",1440
"1812","norW","b2711",1134
"1813","npr","b3206",273
"1814","nrdA","b2234",2286
"1815","nrdB","b2235",1131
"1816","nrdD","b4238",2139
"1817","nrdE","b2675",2145
"1818","nrdF","b2676",960
"1819","nrdG","b4237",465
"1820","nrdH","b2673",246
"1821","nrdI","b2674",411
"1822","nrdR","b0413",450
"1823","nrfA","b4070",1437
"1824","nrfB","b4071",567
"1825","nrfC","b4072",672
"1826","nrfD","b4073",957
"1827","nrfE","b4074",1659
"1828","nrfF","b4075",384
"1829","nrfG","b4076",597
"1830","nsrR","b4178",426
"1831","nth","b1633",636
"1832","nudB","b1865",453
"1833","nudC","b3996",774
"1834","nudE","b3397",561
"1835","nudF","b3034",630
"1836","nudG","b1759",408
"1837","nudI","b2251",426
"1838","nudJ","b1134",462
"1839","nudK","b2467",576
"1840","nudL","b1813",579
"1841","nuoA","b2288",444
"1842","nuoB","b2287",663
"1843","nuoC","b2286",1791
"1844","nuoE","b2285",501
"1845","nuoF","b2284",1338
"1846","nuoG","b2283",2727
"1847","nuoH","b2282",978
"1848","nuoI","b2281",543
"1849","nuoJ","b2280",555
"1850","nuoK","b2279",303
"1851","nuoL","b2278",1842
"1852","nuoM","b2277",1530
"1853","nuoN","b2276",1458
"1854","nupC","b2393",1203
"1855","nupG","b2964",1257
"1856","nupX","b2161",1251
"1857","nusA","b3169",1488
"1858","nusB","b0416",420
"1859","nusG","b3982",546
"1860","obgE","b3183",1173
"1861","ogrK","b2082",219
"1862","ogt","b1335",516
"1863","ompA","b0957",1041
"1864","ompC","b2215",1104
"1865","ompF","b0929",1089
"1866","ompG","b1319",906
"1867","ompL","b3875",693
"1868","ompN","b1377",1134
"1869","ompR","b3405",720
"1870","ompT","b0565",954
"1871","ompW","b1256",639
"1872","ompX","b0814",516
"1873","opgB","b4359",2292
"1874","opgC","b1047",1158
"1875","opgD","b1424",1656
"1876","opgE","b0815",1584
"1877","opgG","b1048",1536
"1878","opgH","b1049",2544
"1879","oppA","b1243",1632
"1880","oppB","b1244",921
"1881","oppC","b1245",909
"1882","oppD","b1246",1014
"1883","oppF","b1247",1005
"1884","orn","b4162",546
"1885","ortT","b1445",174
"1886","osmB","b1283",219
"1887","osmC","b1482",432
"1888","osmE","b1739",339
"1889","osmF","b2131",918
"1890","osmY","b4376",606
"1891","otsA","b1896",1425
"1892","otsB","b1897",801
"1893","oxc","b2373",1695
"1894","oxyR","b3961",918
"1895","paaA","b1388",930
"1896","paaB","b1389",288
"1897","paaC","b1390",747
"1898","paaD","b1391",498
"1899","paaE","b1392",1071
"1900","paaF","b1393",768
"1901","paaG","b1394",789
"1902","paaH","b1395",1428
"1903","paaI","b1396",423
"1904","paaJ","b1397",1206
"1905","paaK","b1398",1314
"1906","paaX","b1399",951
"1907","paaY","b1400",591
"1908","paaZ","b1387",2046
"1909","pabA","b3360",564
"1910","pabB","b1812",1362
"1911","pabC","b1096",810
"1912","pagP","b0622",561
"1913","pal","b0741",522
"1914","panB","b0134",795
"1915","panC","b0133",852
"1916","panD","b0131",381
"1917","panE","b0425",912
"1918","panF","b3258",1452
"1919","panZ","b3459",384
"1920","paoA","b0286",690
"1921","paoB","b0285",957
"1922","paoC","b0284",2199
"1923","paoD","b0283",957
"1924","parC","b3019",2259
"1925","parE","b3030",1893
"1926","patA","b3073",1380
"1927","patD","b1444",1425
"1928","patZ","b2584",2661
"1929","pbl","b2854",375
"1930","pbpC","b2519",2313
"1931","pbpG","b2134",933
"1932","pck","b3403",1623
"1933","pcm","b2743",627
"1934","pcnB","b0143",1398
"1935","pdeA","b2395",2190
"1936","pdeB","b0457",1551
"1937","pdeC","b4061",1587
"1938","pdeD","b1815",1599
"1939","pdeF","b2503",2244
"1940","pdeG","b1168",1524
"1941","pdeH","b3525",768
"1942","pdeI","b0833",2349
"1943","pdeK","b3529",1950
"1944","pdeL","b0315",1089
"1945","pdeN","b2176",1557
"1946","pdeR","b1285",1986
"1947","pdhR","b0113",765
"1948","pdxA","b0052",990
"1949","pdxB","b2320",1137
"1950","pdxH","b1638",657
"1951","pdxJ","b2564",732
"1952","pdxK","b2418",852
"1953","pdxY","b1636",864
"1954","pepA","b4260",1512
"1955","pepB","b2523",1284
"1956","pepD","b0237",1458
"1957","pepE","b4021",690
"1958","pepN","b0932",2613
"1959","pepP","b2908",1326
"1960","pepQ","b3847",1332
"1961","pepT","b1127",1227
"1962","perR","b0254",894
"1963","pfkA","b3916",963
"1964","pfkB","b1723",930
"1965","pflA","b0902",741
"1966","pflB","b0903",2283
"1967","pflC","b3952",879
"1968","pflD","b3951",2298
"1969","pgaA","b1024",2424
"1970","pgaB","b1023",2019
"1971","pgaC","b1022",1326
"1972","pgaD","b1021",414
"1973","pgi","b4025",1650
"1974","pgk","b2926",1164
"1975","pgl","b0767",996
"1976","pgm","b0688",1641
"1977","pgpA","b0418",519
"1978","pgpB","b1278",765
"1979","pgpC","b2560",636
"1980","pgrR","b1328",900
"1981","pgsA","b1912",549
"1982","pheA","b2599",1161
"1983","pheL","b2598",48
"1984","pheM","b1715",45
